x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
4.20903308e-01	-1.99583137e-01
4.21879809e-01	-1.97086793e-01
4.22856309e-01	-1.94591678e-01
4.23832809e-01	-1.92097773e-01
4.24809310e-01	-1.89605062e-01
4.25785810e-01	-1.87113529e-01
4.26762310e-01	-1.84623157e-01
4.27738811e-01	-1.82133930e-01
4.28715311e-01	-1.79645830e-01
4.29691811e-01	-1.77158842e-01
4.30668312e-01	-1.74672950e-01
4.31644812e-01	-1.72188136e-01
4.32621312e-01	-1.69704385e-01
4.33597813e-01	-1.67221680e-01
4.34574313e-01	-1.64740006e-01
4.35550813e-01	-1.62259346e-01
4.36527314e-01	-1.59779684e-01
4.37503814e-01	-1.57301004e-01
4.38480314e-01	-1.54823291e-01
4.39456815e-01	-1.52346527e-01
4.40433315e-01	-1.49870697e-01
4.41409815e-01	-1.47395786e-01
4.42386316e-01	-1.44921777e-01
4.43362816e-01	-1.42448655e-01
4.44339316e-01	-1.39976404e-01
4.45315817e-01	-1.37505009e-01
4.46292317e-01	-1.35034452e-01
4.47268817e-01	-1.32564720e-01
4.48245318e-01	-1.30095796e-01
4.49221818e-01	-1.27627665e-01
4.50198318e-01	-1.25160311e-01
4.51174819e-01	-1.22693719e-01
4.52151319e-01	-1.20227873e-01
4.53127819e-01	-1.17762758e-01
4.54104319e-01	-1.15298358e-01
4.55080820e-01	-1.12834658e-01
4.56057320e-01	-1.10371643e-01
4.57033820e-01	-1.07909298e-01
4.58010321e-01	-1.05447606e-01
4.58986821e-01	-1.02986553e-01
4.59963321e-01	-1.00526124e-01
4.60939822e-01	-9.80663037e-02
4.61916322e-01	-9.56070762e-02
4.62892822e-01	-9.31484269e-02
4.63869323e-01	-9.06903404e-02
4.64845823e-01	-8.82328019e-02
4.65822323e-01	-8.57757961e-02
4.66798824e-01	-8.33193080e-02
4.67775324e-01	-8.08633226e-02
4.68751824e-01	-7.84078248e-02
4.69728325e-01	-7.59527998e-02
4.70704825e-01	-7.34982324e-02
4.71681325e-01	-7.10441077e-02
4.72657826e-01	-6.85904109e-02
4.73634326e-01	-6.61371269e-02
4.74610826e-01	-6.36842410e-02
4.75587327e-01	-6.12317381e-02
4.76563827e-01	-5.87796035e-02
4.77540327e-01	-5.63278223e-02
4.78516828e-01	-5.38763796e-02
4.79493328e-01	-5.14252607e-02
4.80469828e-01	-4.89744507e-02
4.81446329e-01	-4.65239348e-02
4.82422829e-01	-4.40736983e-02
4.83399329e-01	-4.16237263e-02
4.84375829e-01	-3.91740042e-02
4.85352330e-01	-3.67245171e-02
4.86328830e-01	-3.42752503e-02
4.87305330e-01	-3.18261892e-02
4.88281831e-01	-2.93773189e-02
4.89258331e-01	-2.69286248e-02
4.90234831e-01	-2.44800922e-02
4.91211332e-01	-2.20317063e-02
4.92187832e-01	-1.95834524e-02
4.93164332e-01	-1.71353160e-02
4.94140833e-01	-1.46872822e-02
4.95117333e-01	-1.22393365e-02
4.96093833e-01	-9.79146406e-03
4.97070334e-01	-7.34365033e-03
4.98046834e-01	-4.89588060e-03
4.99023334e-01	-2.44814020e-03
4.99999835e-01	-4.14470979e-07
5.00976335e-01	2.44731126e-03
5.01952835e-01	4.89505165e-03
5.02929336e-01	7.34282137e-03
5.03905836e-01	9.79063508e-03
5.04882336e-01	1.22385075e-02
5.05858837e-01	1.46864532e-02
5.06835337e-01	1.71344869e-02
5.07811837e-01	1.95826233e-02
5.08788338e-01	2.20308771e-02
5.09764838e-01	2.44792630e-02
5.10741338e-01	2.69277956e-02
5.11717839e-01	2.93764896e-02
5.12694339e-01	3.18253598e-02
5.13670839e-01	3.42744209e-02
5.14647339e-01	3.67236876e-02
5.15623840e-01	3.91731746e-02
5.16600340e-01	4.16228966e-02
5.17576840e-01	4.40728685e-02
5.18553341e-01	4.65231050e-02
5.19529841e-01	4.89736207e-02
5.20506341e-01	5.14244307e-02
5.21482842e-01	5.38755495e-02
5.22459342e-01	5.63269920e-02
5.23435842e-01	5.87787731e-02
5.24412343e-01	6.12309076e-02
