# ordering=colwise,  basis=BASIS_NODAL, number points=1089, (max)level(s): (5,5), domain=[0,1] x [0,6.2831853]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	x_1	f(x)	l_0	i_0	scalaridx_0	l_1	i_1	scalaridx_1	
0.3125	3.7306413	0.035264208	4	5	11	5	19	26	
0.3125	3.9269908	0.050929908	4	5	11	3	5	7	
0.3125	4.1233404	0.066995128	4	5	11	5	21	27	
0.3125	4.3196899	0.080287008	4	5	11	4	11	14	
0.3125	4.5160394	0.089421438	4	5	11	5	23	28	
0.3125	4.712389	0.091865153	4	5	11	2	3	4	
0.3125	4.9087385	0.089421438	4	5	11	5	25	29	
0.3125	5.1050881	0.080287008	4	5	11	4	13	15	
0.3125	5.3014376	0.066995128	4	5	11	5	27	30	
0.3125	5.4977871	0.050929908	4	5	11	3	7	8	
0.3125	5.6941367	0.035264208	4	5	11	5	29	31	
0.3125	5.8904862	0.022056775	4	5	11	4	15	16	
0.3125	6.0868358	0.013023079	4	5	11	5	31	32	
0.3125	6.2831853	0.0096435547	4	5	11	0	1	1	

0.34375	0	0.014129639	5	11	22	0	0	0	
0.34375	0.19634954	0.016753557	5	11	22	5	1	17	
0.34375	0.39269908	0.023798776	5	11	22	4	1	9	
0.34375	0.58904862	0.034140299	5	11	22	5	3	18	
0.34375	0.78539816	0.046430779	5	11	22	3	1	5	
0.34375	0.9817477	0.059000175	5	11	22	5	5	19	
0.34375	1.1780972	0.069383765	5	11	22	4	3	10	
0.34375	1.3744468	0.07634803	5	11	22	5	7	20	
0.34375	1.5707963	0.078138174	5	11	22	2	1	3	
0.34375	1.7671459	0.07634803	5	11	22	5	9	21	
0.34375	1.9634954	0.069383765	5	11	22	4	5	11	
0.34375	2.1598449	0.059000175	5	11	22	5	11	22	
0.34375	2.3561945	0.046430779	5	11	22	3	3	6	
0.34375	2.552544	0.034140299	5	11	22	5	13	23	
0.34375	2.7488936	0.023798776	5	11	22	4	7	12	
0.34375	2.9452431	0.016753557	5	11	22	5	15	24	
0.34375	3.1415927	0.014129639	5	11	22	1	1	2	
0.34375	3.3379422	0.016753557	5	11	22	5	17	25	
0.34375	3.5342917	0.023798776	5	11	22	4	9	13	
0.34375	3.7306413	0.034140299	5	11	22	5	19	26	
0.34375	3.9269908	0.046430779	5	11	22	3	5	7	
0.34375	4.1233404	0.059000175	5	11	22	5	21	27	
0.34375	4.3196899	0.069383765	5	11	22	4	11	14	
0.34375	4.5160394	0.07634803	5	11	22	5	23	28	
0.34375	4.712389	0.078138174	5	11	22	2	3	4	
0.34375	4.9087385	0.07634803	5	11	22	5	25	29	
0.34375	5.1050881	0.069383765	5	11	22	4	13	15	
0.34375	5.3014376	0.059000175	5	11	22	5	27	30	
0.34375	5.4977871	0.046430779	5	11	22	3	7	8	
0.34375	5.6941367	0.034140299	5	11	22	5	29	31	
0.34375	5.8904862	0.023798776	5	11	22	4	15	16	
0.34375	6.0868358	0.016753557	5	11	22	5	31	32	
0.34375	6.2831853	0.014129639	5	11	22	0	1	1	

0.375	0	0.020019531	3	3	6	0	0	0	
0.375	0.19634954	0.022231392	3	3	6	5	1	17	
0.375	0.39269908	0.027631681	3	3	6	4	1	9	
0.375	0.58904862	0.035575241	3	3	6	5	3	18	
0.375	0.78539816	0.044958448	3	3	6	3	1	5	
0.375	0.9817477	0.054653595	3	3	6	5	5	19	
0.375	1.1780972	0.06275047	3	3	6	4	3	10	
0.375	1.3744468	0.068166146	3	3	6	5	7	20	
0.375	1.5707963	0.069924294	3	3	6	2	1	3	
0.375	1.7671459	0.068166146	3	3	6	5	9	21	
0.375	1.9634954	0.06275047	3	3	6	4	5	11	
0.375	2.1598449	0.054653595	3	3	6	5	11	22	
0.375	2.3561945	0.044958448	3	3	6	3	3	6	
0.375	2.552544	0.035575241	3	3	6	5	13	23	
0.375	2.7488936	0.027631681	3	3	6	4	7	12	
0.375	2.9452431	0.022231392	3	3	6	5	15	24	
0.375	3.1415927	0.020019531	3	3	6	1	1	2	
0.375	3.3379422	0.022231392	3	3	6	5	17	25	
0.375	3.5342917	0.027631681	3	3	6	4	9	13	
0.375	3.7306413	0.035575241	3	3	6	5	19	26	
0.375	3.9269908	0.044958448	3	3	6	3	5	7	
0.375	4.1233404	0.054653595	3	3	6	5	21	27	
0.375	4.3196899	0.06275047	3	3	6	4	11	14	
0.375	4.5160394	0.068166146	3	3	6	5	23	28	
0.375	4.712389	0.069924294	3	3	6	2	3	4	
0.375	4.9087385	0.068166146	3	3	6	5	25	29	
0.375	5.1050881	0.06275047	3	3	6	4	13	15	
0.375	5.3014376	0.054653595	3	3	6	5	27	30	
0.375	5.4977871	0.044958448	3	3	6	3	7	8	
0.375	5.6941367	0.035575241	3	3	6	5	29	31	
0.375	5.8904862	0.027631681	3	3	6	4	15	16	
0.375	6.0868358	0.022231392	3	3	6	5	31	32	
0.375	6.2831853	0.020019531	3	3	6	0	1	1	

0.40625	0	0.027435303	5	13	23	0	0	0	
0.40625	0.19634954	0.029058742	5	13	23	5	1	17	
0.40625	0.39269908	0.033386521	5	13	23	4	1	9	
0.40625	0.58904862	0.039688126	5	13	23	5	3	18	
0.40625	0.78539816	0.047154347	5	13	23	3	1	5	
0.40625	0.9817477	0.054820035	5	13	23	5	5	19	
0.40625	1.1780972	0.061051054	5	13	23	4	3	10	
0.40625	1.3744468	0.065283952	5	13	23	5	7	20	
0.40625	1.5707963	0.066415046	5	13	23	2	1	3	
0.40625	1.7671459	0.065283952	5	13	23	5	9	21	
0.40625	1.9634954	0.061051054	5	13	23	4	5	11	
0.40625	2.1598449	0.054820035	5	13	23	5	11	22	
0.40625	2.3561945	0.047154347	5	13	23	3	3	6	
0.40625	2.552544	0.039688126	5	13	23	5	13	23	
0.40625	2.7488936	0.033386521	5	13	23	4	7	12	
0.40625	2.9452431	0.029058742	5	13	23	5	15	24	
0.40625	3.1415927	0.027435303	5	13	23	1	1	2	
0.40625	3.3379422	0.029058742	5	13	23	5	17	25	
0.40625	3.5342917	0.033386521	5	13	23	4	9	13	
0.40625	3.7306413	0.039688126	5	13	23	5	19	26	
